X,Y,Z
0.0,0.0,1.0
0.321,0.238,1.018
0.633,0.451,1.07
0.929,0.617,1.151
1.201,0.72,1.253
1.442,0.749,1.364
1.646,0.701,1.474
1.807,0.581,1.571
1.921,0.401,1.646
1.985,0.179,1.69
1.998,-0.06,1.699
1.96,-0.294,1.672
1.87,-0.497,1.612
1.732,-0.65,1.525
1.549,-0.735,1.42
1.326,-0.745,1.308
1.069,-0.678,1.2
0.784,-0.541,1.108
0.479,-0.349,1.04
0.161,-0.12,1.005
-0.161,0.12,1.005
-0.479,0.349,1.04
-0.784,0.541,1.108
-1.069,0.678,1.2
-1.326,0.745,1.308
-1.549,0.735,1.42
-1.732,0.65,1.525
-1.87,0.497,1.612
-1.96,0.294,1.672
-1.998,0.06,1.699
-1.985,-0.179,1.69
-1.921,-0.401,1.646
-1.807,-0.581,1.571
-1.646,-0.701,1.474
-1.442,-0.749,1.364
-1.201,-0.72,1.253
-0.929,-0.617,1.151
-0.633,-0.451,1.07
-0.321,-0.238,1.018
-0.0,-0.0,1.0
